income,publicprivate,profession,value
51000-51999,private,Bibliotekarie,"0,013"
52000-52999,private,Bibliotekarie,"0,0087"
53000-53999,private,Bibliotekarie,"0,0087"
54000-54999,private,Bibliotekarie,"0,0087"
55000-55999,private,Bibliotekarie,0
56000-56999,private,Bibliotekarie,"0,0087"
57000-57999,private,Bibliotekarie,0
58000-58999,private,Bibliotekarie,"0,0087"
59000-59999,private,Bibliotekarie,0
61000-61999,private,Bibliotekarie,0
62000-62999,private,Bibliotekarie,0
65000-65999,private,Bibliotekarie,"0,0043"
67000-67999,private,Bibliotekarie,"0,0043"
70000-,private,Bibliotekarie,0
-24999,public,Bibliotekarie,"0,0508"
25000-25999,public,Bibliotekarie,"0,0573"
26000-26999,public,Bibliotekarie,"0,1032"
27000-27999,public,Bibliotekarie,"0,1367"
28000-28999,public,Bibliotekarie,"0,1277"
29000-29999,public,Bibliotekarie,"0,1138"
30000-30999,public,Bibliotekarie,"0,095"
31000-31999,public,Bibliotekarie,"0,079"
32000-32999,public,Bibliotekarie,"0,0569"
33000-33999,public,Bibliotekarie,"0,0315"
34000-34999,public,Bibliotekarie,"0,0311"
35000-35999,public,Bibliotekarie,"0,0209"
36000-36999,public,Bibliotekarie,"0,0168"
37000-37999,public,Bibliotekarie,"0,0147"
38000-38999,public,Bibliotekarie,"0,0123"
39000-39999,public,Bibliotekarie,"0,0094"
40000-40999,public,Bibliotekarie,"0,0115"
41000-41999,public,Bibliotekarie,"0,0057"
42000-42999,public,Bibliotekarie,"0,0045"
43000-43999,public,Bibliotekarie,"0,0029"
44000-44999,public,Bibliotekarie,"0,0008"
45000-45999,public,Bibliotekarie,"0,0025"
46000-46999,public,Bibliotekarie,"0,0029"
47000-47999,public,Bibliotekarie,"0,0004"
48000-48999,public,Bibliotekarie,"0,0016"
49000-49999,public,Bibliotekarie,"0,0004"
50000-50999,public,Bibliotekarie,"0,0012"
51000-51999,public,Bibliotekarie,0
52000-52999,public,Bibliotekarie,"0,0004"
53000-53999,public,Bibliotekarie,"0,0008"
54000-54999,public,Bibliotekarie,"0,0008"
55000-55999,public,Bibliotekarie,"0,0004"
56000-56999,public,Bibliotekarie,0
57000-57999,public,Bibliotekarie,"0,0004"
58000-58999,public,Bibliotekarie,"0,0004"
59000-59999,public,Bibliotekarie,"0,0012"
61000-61999,public,Bibliotekarie,"0,0016"
62000-62999,public,Bibliotekarie,"0,0012"
65000-65999,public,Bibliotekarie,0
67000-67999,public,Bibliotekarie,0
70000-,public,Bibliotekarie,"0,0012"
-24999,private,Högskoleingejör,"0,0081"
25000-25999,private,Högskoleingejör,"0,0112"
26000-26999,private,Högskoleingejör,"0,0139"
27000-27999,private,Högskoleingejör,"0,0239"
28000-28999,private,Högskoleingejör,"0,0349"
29000-29999,private,Högskoleingejör,"0,0362"
30000-30999,private,Högskoleingejör,"0,0441"
31000-31999,private,Högskoleingejör,"0,0373"
32000-32999,private,Högskoleingejör,"0,0461"
33000-33999,private,Högskoleingejör,"0,046"
34000-34999,private,Högskoleingejör,"0,0465"
35000-35999,private,Högskoleingejör,"0,0538"
36000-36999,private,Högskoleingejör,"0,0483"
37000-37999,private,Högskoleingejör,"0,0458"
38000-38999,private,Högskoleingejör,"0,0472"
39000-39999,private,Högskoleingejör,"0,0428"
40000-40999,private,Högskoleingejör,"0,0464"
41000-41999,private,Högskoleingejör,"0,0408"
42000-42999,private,Högskoleingejör,"0,0386"
43000-43999,private,Högskoleingejör,"0,0304"
44000-44999,private,Högskoleingejör,"0,0267"
45000-45999,private,Högskoleingejör,"0,0295"
46000-46999,private,Högskoleingejör,"0,0214"
47000-47999,private,Högskoleingejör,"0,0215"
48000-48999,private,Högskoleingejör,"0,0172"
49000-49999,private,Högskoleingejör,"0,0138"
