income;profession;publicprivate;value
40000-40999;Civilingenjör;public;0,044478064
41000-41999;Civilingenjör;public;0,035854766
42000-42999;Civilingenjör;public;0,036611195
43000-43999;Civilingenjör;public;0,036762481
44000-44999;Civilingenjör;public;0,031164902
45000-45999;Civilingenjör;public;0,030559758
46000-46999;Civilingenjör;public;0,027987897
47000-47999;Civilingenjör;public;0,029500756
48000-48999;Civilingenjör;public;0,02602118
49000-49999;Civilingenjör;public;0,021785174
50000-50999;Civilingenjör;public;0,024508321
51000-51999;Civilingenjör;public;0,018456884
52000-52999;Civilingenjör;public;0,020423601
53000-53999;Civilingenjör;public;0,015582451
54000-54999;Civilingenjör;public;0,012102874
55000-55999;Civilingenjör;public;0,015582451
56000-56999;Civilingenjör;public;0,013161876
57000-57999;Civilingenjör;public;0,008472012
58000-58999;Civilingenjör;public;0,008623298
59000-59999;Civilingenjör;public;0,006807867
60000-60999;Civilingenjör;public;0,008774584
61000-61999;Civilingenjör;public;0,008472012
62000-62999;Civilingenjör;public;0,007715582
63000-63999;Civilingenjör;public;0,007866868
64000-64999;Civilingenjör;public;0,004689864
65000-65999;Civilingenjör;public;0,005748865
66000-66999;Civilingenjör;public;0,004236006
67000-67999;Civilingenjör;public;0,004387292
68000-68999;Civilingenjör;public;0,003933434
69000-69999;Civilingenjör;public;0,003177005
70000-70999;Civilingenjör;public;0,00484115
71000-71999;Civilingenjör;public;0,00408472
72000-72999;Civilingenjör;public;0,002874433
73000-73999;Civilingenjör;public;0,001361573
74000-74999;Civilingenjör;public;0,001210287
75000-75999;Civilingenjör;public;0,001966717
76000-76999;Civilingenjör;public;0,000907716
77000-77999;Civilingenjör;public;0,001664145
78000-78999;Civilingenjör;public;0,000907716
79000-79999;Civilingenjör;public;0,001059002
80000-;Civilingenjör;public;0,013918306
-25999;Högskoleingenjör;public;0,02970297
26000-26999;Högskoleingenjör;public;0,02970297
27000-27999;Högskoleingenjör;public;0,032178218
28000-28999;Högskoleingenjör;public;0,042574257
29000-29999;Högskoleingenjör;public;0,050990099
30000-30999;Högskoleingenjör;public;0,077227723
31000-31999;Högskoleingenjör;public;0,069306931
32000-32999;Högskoleingenjör;public;0,061881188
33000-33999;Högskoleingenjör;public;0,07029703
34000-34999;Högskoleingenjör;public;0,050990099
35000-35999;Högskoleingenjör;public;0,051485149
36000-36999;Högskoleingenjör;public;0,055940594
37000-37999;Högskoleingenjör;public;0,046039604
38000-38999;Högskoleingenjör;public;0,053960396
39000-39999;Högskoleingenjör;public;0,046039604
40000-40999;Högskoleingenjör;public;0,038613861
41000-41999;Högskoleingenjör;public;0,027722772
42000-42999;Högskoleingenjör;public;0,019306931
43000-43999;Högskoleingenjör;public;0,023762376
44000-44999;Högskoleingenjör;public;0,022277228
45000-45999;Högskoleingenjör;public;0,015841584
46000-46999;Högskoleingenjör;public;0,011386139
47000-47999;Högskoleingenjör;public;0,014356436
48000-48999;Högskoleingenjör;public;0,009405941
49000-49999;Högskoleingenjör;public;0,005940594
50000-50999;Högskoleingenjör;public;0,007920792
51000-51999;Högskoleingenjör;public;0,004455446
52000-52999;Högskoleingenjör;public;0,005445545
53000-53999;Högskoleingenjör;public;0,005445545
54000-54999;Högskoleingenjör;public;0,001980198
55000-55999;Högskoleingenjör;public;0,001980198
56000-56999;Högskoleingenjör;public;0,001485149
57000-57999;Högskoleingenjör;public;0,002475248
58000-58999;Högskoleingenjör;public;0,001980198
59000-59999;Högskoleingenjör;public;0,00049505
60000-60999;Högskoleingenjör;public;0,000990099
61000-61999;Högskoleingenjör;public;0,00049505
62000-62999;Högskoleingenjör;public;0
63000-63999;Högskoleingenjör;public;0,001485149
64000-64999;Högskoleingenjör;public;0,001485149
65000-65999;Högskoleingenjör;public;0,00049505
66000-66999;Högskoleingenjör;public;0
67000-67999;Högskoleingenjör;public;0,00049505
68000-68999;Högskoleingenjör;public;0,00049505
69000-69999;Högskoleingenjör;public;0
70000-70999;Högskoleingenjör;public;0,00049505
71000-71999;Högskoleingenjör;public;0,00049505
72000-72999;Högskoleingenjör;public;0
73000-73999;Högskoleingenjör;public;0
74000-74999;Högskoleingenjör;public;0
75000-75999;Högskoleingenjör;public;0,00049505
76000-76999;Högskoleingenjör;public;0
77000-77999;Högskoleingenjör;public;0,00049505
78000-78999;Högskoleingenjör;public;0
79000-79999;Högskoleingenjör;public;0
80000-;Högskoleingenjör;public;0,001485149
-25999;Högskoleingenjör;private;0,019309638
26000-26999;Högskoleingenjör;private;0,013926863
27000-27999;Högskoleingenjör;private;0,023923445
28000-28999;Högskoleingenjör;private;0,034945318
29000-29999;Högskoleingenjör;private;0,036226931
30000-30999;Högskoleingenjör;private;0,044087491
31000-31999;Högskoleingenjör;private;0,037252221
32000-32999;Högskoleingenjör;private;0,046052632
33000-33999;Högskoleingenjör;private;0,045967191
34000-34999;Högskoleingenjör;private;0,046479836
35000-35999;Högskoleingenjör;private;0,053827751
36000-36999;Högskoleingenjör;private;0,048274094
37000-37999;Högskoleingenjör;private;0,045796309
38000-38999;Högskoleingenjör;private;0,047248804
39000-39999;Högskoleingenjör;private;0,042805878
