Befattning,Arbsektor,Andel,Lön
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,70754717",88000-88999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,80581761",89000-89999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,120283019",90000-90999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,589622642",91000-91999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,80581761",92000-92999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,628930818",93000-93999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,845125786",94000-94999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,687893082",95000-95999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,491352201",96000-96999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,511006289",97000-97999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,511006289",98000-98999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,687893082",99000-99999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,845125786",100000-100999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,373427673",101000-101999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,314465409",102000-102999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,727201258",103000-103999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,412735849",104000-104999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,60927673",105000-105999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,452044025",106000-106999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,373427673",107000-107999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,334119497",108000-108999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,393081761",109000-109999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,60927673",110000-110999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,196540881",111000-111999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,294811321",112000-112999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,196540881",113000-113999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,235849057",114000-114999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,550314465",115000-115999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,216194969",116000-116999
