"Utbildning","Arbsektor","COUNT","Andel","Lön"
"Ekonom","Offentlig",16,0.269496378642412,"26000-26999"
"Ekonom","Offentlig",30,0.505305709954522,"27000-27999"
"Ekonom","Offentlig",59,0.993767896243894,"28000-28999"
"Ekonom","Offentlig",81,1.36432541687721,"29000-29999"
"Ekonom","Offentlig",104,1.75172646117568,"30000-30999"
"Ekonom","Offentlig",97,1.63382179551962,"31000-31999"
"Ekonom","Offentlig",120,2.02122283981809,"32000-32999"
"Ekonom","Offentlig",125,2.10544045814384,"33000-33999"
"Ekonom","Offentlig",168,2.82971197574533,"34000-34999"
"Ekonom","Offentlig",186,3.13289540171804,"35000-35999"
"Ekonom","Offentlig",175,2.94761664140138,"36000-36999"
"Ekonom","Offentlig",180,3.03183425972713,"37000-37999"
"Ekonom","Offentlig",239,4.02560215597103,"38000-38999"
"Ekonom","Offentlig",205,3.4529223513559,"39000-39999"
"Ekonom","Offentlig",245,4.12666329796193,"40000-40999"
"Ekonom","Offentlig",214,3.60451406434226,"41000-41999"
"Ekonom","Offentlig",244,4.10981977429678,"42000-42999"
"Ekonom","Offentlig",239,4.02560215597103,"43000-43999"
"Ekonom","Offentlig",205,3.4529223513559,"44000-44999"
"Ekonom","Offentlig",230,3.87401044298467,"45000-45999"
"Ekonom","Offentlig",204,3.43607882769075,"46000-46999"
"Ekonom","Offentlig",199,3.351861209365,"47000-47999"
"Ekonom","Offentlig",172,2.89708607040593,"48000-48999"
"Ekonom","Offentlig",157,2.64443321542867,"49000-49999"
"Ekonom","Offentlig",187,3.14973892538319,"50000-50999"
"Ekonom","Offentlig",138,2.3244062657908,"51000-51999"
"Ekonom","Offentlig",130,2.1896580764696,"52000-52999"
"Ekonom","Offentlig",131,2.20650160013475,"53000-53999"
"Ekonom","Offentlig",123,2.07175341081354,"54000-54999"
"Ekonom","Offentlig",102,1.71803941384538,"55000-55999"
"Ekonom","Offentlig",91,1.53276065352872,"56000-56999"
"Ekonom","Offentlig",88,1.48223008253327,"57000-57999"
"Ekonom","Offentlig",71,1.1958901802257,"58000-58999"
"Ekonom","Offentlig",59,0.993767896243894,"59000-59999"
"Ekonom","Offentlig",86,1.44854303520296,"60000-60999"
"Ekonom","Offentlig",51,0.859019706922688,"61000-61999"
"Ekonom","Offentlig",53,0.89270675425299,"62000-62999"
"Ekonom","Offentlig",57,0.960080848913593,"63000-63999"
"Ekonom","Offentlig",57,0.960080848913593,"64000-64999"
"Ekonom","Offentlig",40,0.67374094660603,"65000-65999"
"Ekonom","Offentlig",48,0.808489135927236,"66000-66999"
"Ekonom","Offentlig",34,0.572679804615126,"67000-67999"
"Ekonom","Offentlig",33,0.555836280949975,"68000-68999"
"Ekonom","Offentlig",29,0.488462186289372,"69000-69999"
"Ekonom","Offentlig",35,0.589523328280276,"70000-70999"
"Ekonom","Offentlig",16,0.269496378642412,"71000-71999"
"Ekonom","Offentlig",26,0.43793161529392,"72000-72999"
"Ekonom","Offentlig",22,0.370557520633316,"73000-73999"
"Ekonom","Offentlig",17,0.286339902307563,"74000-74999"
"Ekonom","Offentlig",19,0.320026949637864,"75000-75999"
"Ekonom","Offentlig",24,0.404244567963618,"76000-76999"
"Ekonom","Offentlig",16,0.269496378642412,"77000-77999"
