"Utbildning","Arbsektor","COUNT","Andel","Lön"
"högsta chef, högre chef, mellanchef","Privat",34,0.411074839801717,"118000-118999"
"högsta chef, högre chef, mellanchef","Privat",21,0.253899165759884,"119000-119999"
"högsta chef, högre chef, mellanchef","Privat",43,0.519888767984524,"120000-120999"
"högsta chef, högre chef, mellanchef","Privat",24,0.290170475154153,"121000-121999"
"högsta chef, högre chef, mellanchef","Privat",20,0.241808729295128,"122000-122999"
"högsta chef, högre chef, mellanchef","Privat",19,0.229718292830371,"123000-123999"
"högsta chef, högre chef, mellanchef","Privat",17,0.205537419900858,"124000-124999"
"högsta chef, högre chef, mellanchef","Privat",38,0.459436585660742,"125000-125999"
"högsta chef, högre chef, mellanchef","Privat",12,0.145085237577077,"126000-126999"
"högsta chef, högre chef, mellanchef","Privat",15,0.181356546971346,"127000-127999"
"högsta chef, högre chef, mellanchef","Privat",17,0.205537419900858,"128000-128999"
"högsta chef, högre chef, mellanchef","Privat",14,0.169266110506589,"129000-129999"
"högsta chef, högre chef, mellanchef","Privat",28,0.338532221013179,"130000-130999"
"högsta chef, högre chef, mellanchef","Privat",15,0.181356546971346,"131000-131999"
"högsta chef, högre chef, mellanchef","Privat",19,0.229718292830371,"132000-132999"
"högsta chef, högre chef, mellanchef","Privat",13,0.157175674041833,"133000-133999"
"högsta chef, högre chef, mellanchef","Privat",27,0.326441784548422,"134000-134999"
"högsta chef, högre chef, mellanchef","Privat",28,0.338532221013179,"135000-135999"
"högsta chef, högre chef, mellanchef","Privat",15,0.181356546971346,"136000-136999"
"högsta chef, högre chef, mellanchef","Privat",12,0.145085237577077,"137000-137999"
"högsta chef, högre chef, mellanchef","Privat",14,0.169266110506589,"138000-138999"
"högsta chef, högre chef, mellanchef","Privat",6,0.072542618788538,"139000-139999"
"högsta chef, högre chef, mellanchef","Privat",26,0.314351348083666,"140000-140999"
"högsta chef, högre chef, mellanchef","Privat",5,0.060452182323782,"141000-141999"
"högsta chef, högre chef, mellanchef","Privat",10,0.120904364647564,"142000-142999"
"högsta chef, högre chef, mellanchef","Privat",14,0.169266110506589,"143000-143999"
"högsta chef, högre chef, mellanchef","Privat",8,0.096723491718051,"144000-144999"
"högsta chef, högre chef, mellanchef","Privat",13,0.157175674041833,"145000-145999"
"högsta chef, högre chef, mellanchef","Privat",9,0.108813928182807,"146000-146999"
"högsta chef, högre chef, mellanchef","Privat",6,0.072542618788538,"147000-147999"
"högsta chef, högre chef, mellanchef","Privat",8,0.096723491718051,"148000-148999"
"högsta chef, högre chef, mellanchef","Privat",11,0.13299480111232,"149000-149999"
"högsta chef, högre chef, mellanchef","Privat",20,0.241808729295128,"150000-150999"
"högsta chef, högre chef, mellanchef","Privat",10,0.120904364647564,"151000-151999"
"högsta chef, högre chef, mellanchef","Privat",7,0.084633055253295,"152000-152999"
"högsta chef, högre chef, mellanchef","Privat",9,0.108813928182807,"153000-153999"
"högsta chef, högre chef, mellanchef","Privat",5,0.060452182323782,"154000-154999"
"högsta chef, högre chef, mellanchef","Privat",15,0.181356546971346,"155000-155999"
"högsta chef, högre chef, mellanchef","Privat",7,0.084633055253295,"156000-156999"
"högsta chef, högre chef, mellanchef","Privat",6,0.072542618788538,"157000-157999"
"högsta chef, högre chef, mellanchef","Privat",9,0.108813928182807,"158000-158999"
"högsta chef, högre chef, mellanchef","Privat",6,0.072542618788538,"159000-159999"
"högsta chef, högre chef, mellanchef","Privat",9,0.108813928182807,"160000-160999"
"högsta chef, högre chef, mellanchef","Privat",6,0.072542618788538,"161000-161999"
"högsta chef, högre chef, mellanchef","Privat",8,0.096723491718051,"162000-162999"
"högsta chef, högre chef, mellanchef","Privat",11,0.13299480111232,"163000-163999"
"högsta chef, högre chef, mellanchef","Privat",2,0.024180872929513,"164000-164999"
"högsta chef, högre chef, mellanchef","Privat",6,0.072542618788538,"165000-165999"
"högsta chef, högre chef, mellanchef","Privat",8,0.096723491718051,"166000-166999"
"högsta chef, högre chef, mellanchef","Privat",8,0.096723491718051,"167000-167999"
"högsta chef, högre chef, mellanchef","Privat",7,0.084633055253295,"168000-168999"
"högsta chef, högre chef, mellanchef","Privat",5,0.060452182323782,"169000-169999"
"högsta chef, högre chef, mellanchef","Privat",234,2.82916213275299,">=170000"
