Befattning,Arbsektor,Andel,Lön
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,2.7408838445,<37000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.6882395557,37000-37999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.6278676648,38000-38999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.7365370683,39000-39999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.1108427916,40000-40999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.712388312,41000-41999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.0021733881,42000-42999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.9900990099,43000-43999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.8452064719,44000-44999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.424776624,45000-45999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.1832890606,46000-46999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.4006278677,47000-47999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,2.0405699106,48000-48999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.5213716494,49000-49999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,2.6805119536,50000-50999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.6300410529,51000-51999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.8232311036,52000-52999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.8473798599,53000-53999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.7145617001,54000-54999
